Time,PSIA,MASSFLOW,TOTAL_MASS,TOTAL_VOLUME
2023-04-14T12:51:58.591,14.6,-0.002,0,0
2023-04-14T12:51:59.637,14.6,-0.002,0,0
2023-04-14T12:52:00.706,14.6,-0.002,0,0
2023-04-14T12:52:01.791,14.59,-0.002,0,0
2023-04-14T12:52:02.845,14.6,-0.002,0,0
2023-04-14T12:52:03.899,14.6,-0.002,0,0
2023-04-14T12:52:04.952,14.6,-0.002,0,0
2023-04-14T12:52:06.005,14.6,-0.002,0,0
2023-04-14T12:52:07.075,14.6,-0.002,0,0
2023-04-14T12:52:08.128,14.6,-0.002,0,0
2023-04-14T12:52:09.198,14.6,-0.002,0,0
2023-04-14T12:52:10.267,14.6,-0.002,0,0
2023-04-14T12:52:11.320,14.6,-0.002,0,0
2023-04-14T12:52:12.438,14.6,-0.002,0,0
2023-04-14T12:52:13.491,14.6,-0.002,0,0
2023-04-14T12:52:14.561,14.6,-0.002,0,0
2023-04-14T12:52:15.630,14.6,-0.002,0,0
2023-04-14T12:52:16.670,14.6,0,0,0
2023-04-14T12:52:17.721,14.6,0,0,0
2023-04-14T12:52:18.790,14.6,0,0,0
2023-04-14T12:52:19.844,14.6,0,0,0
2023-04-14T12:52:20.945,14.6,0,0,0
2023-04-14T12:52:22.030,14.6,0,0,0
2023-04-14T12:52:23.116,14.6,0,0,0
2023-04-14T12:52:24.170,14.6,0,0,0
2023-04-14T12:52:25.287,14.6,0,0,0
2023-04-14T12:52:26.356,14.6,0,0,0
2023-04-14T12:52:27.394,14.6,0,0,0
2023-04-14T12:52:28.479,14.6,0,0,0
2023-04-14T12:52:29.532,14.6,0,0,0
2023-04-14T12:52:30.633,14.6,0,0,0
2023-04-14T12:52:31.687,14.6,0,0,0
2023-04-14T12:52:32.757,14.6,0,0,0
2023-04-14T12:52:33.810,14.6,0,0,0
2023-04-14T12:52:34.848,14.6,0,0,0
2023-04-14T12:52:35.901,14.6,0,0,0
2023-04-14T12:52:36.970,14.6,0,0,0
2023-04-14T12:52:38.024,14.6,0,0,0
2023-04-14T12:52:39.109,14.6,0,0,0
2023-04-14T12:52:40.211,14.6,0,0,0
2023-04-14T12:52:41.264,14.6,0,0,0
2023-04-14T12:52:42.317,14.6,0,0,0
2023-04-14T12:52:43.387,14.6,0,0,0
2023-04-14T12:52:44.440,14.6,0,0,0
2023-04-14T12:52:45.557,14.6,0,0,0
2023-04-14T12:52:46.611,14.6,0,0,0
2023-04-14T12:52:47.696,14.6,0,0,0
2023-04-14T12:52:48.750,14.6,0,0,0
2023-04-14T12:52:49.851,14.6,0,0,0
2023-04-14T12:52:50.904,16.92,4.332,0.03,0.03
2023-04-14T12:52:51.974,31.16,12.508,0.16,0.12
2023-04-14T12:52:53.091,54.34,8.961,0.39,0.2
2023-04-14T12:52:54.145,60.72,1.07,0.46,0.22
2023-04-14T12:52:55.214,61.19,0.109,0.47,0.22
2023-04-14T12:52:56.299,61.26,0.024,0.47,0.22
2023-04-14T12:52:57.356,61.28,-0.008,0.47,0.22
2023-04-14T12:52:58.422,61.29,0.002,0.47,0.22
