Time,PSIA,MASSFLOW,TOTAL_MASS,TOTAL_VOLUME
2023-05-01T10:41:56.174,14.31,0,0,0
2023-05-01T10:41:57.274,14.31,0,0,0
2023-05-01T10:41:58.328,14.31,0,0,0
2023-05-01T10:41:59.397,14.31,0,0,0
2023-05-01T10:42:00.451,14.31,0,0,0
2023-05-01T10:42:01.520,14.31,0,0,0
2023-05-01T10:42:02.574,14.32,0,0,0
2023-05-01T10:42:03.627,14.31,0,0,0
2023-05-01T10:42:04.681,14.31,0,0,0
2023-05-01T10:42:05.766,14.31,0,0,0
2023-05-01T10:42:06.820,14.32,0,0,0
2023-05-01T10:42:07.905,14.32,0,0,0
2023-05-01T10:42:08.975,14.32,0,0,0
2023-05-01T10:42:10.093,14.31,0,0,0
2023-05-01T10:42:11.162,14.32,0,0,0
2023-05-01T10:42:12.247,14.32,0,0,0
2023-05-01T10:42:13.317,14.32,0,0,0
2023-05-01T10:42:14.361,14.32,0,0,0
2023-05-01T10:42:15.424,14.32,0,0,0
2023-05-01T10:42:16.477,14.32,0,0,0
2023-05-01T10:42:17.563,14.32,0,0,0
2023-05-01T10:42:18.623,14.32,0,0,0
2023-05-01T10:42:19.686,14.32,0,0,0
2023-05-01T10:42:20.787,14.32,0,0,0
2023-05-01T10:42:21.825,14.32,0,0,0
2023-05-01T10:42:22.878,14.32,0,0,0
2023-05-01T10:42:23.964,14.32,0,0,0
2023-05-01T10:42:25.001,14.32,0,0,0
2023-05-01T10:42:26.071,14.32,0,0,0
2023-05-01T10:42:27.159,14.32,0,0,0
2023-05-01T10:42:28.226,14.32,0,0,0
2023-05-01T10:42:29.280,14.32,0,0,0
2023-05-01T10:42:30.349,14.32,0,0,0
2023-05-01T10:42:31.402,14.32,0,0,0
2023-05-01T10:42:32.488,14.32,0,0,0
2023-05-01T10:42:33.541,14.32,0,0,0
2023-05-01T10:42:34.595,14.32,0,0,0
2023-05-01T10:42:35.664,14.32,0,0,0
2023-05-01T10:42:36.734,14.32,0,0,0
2023-05-01T10:42:37.803,14.32,0,0,0
2023-05-01T10:42:38.873,14.32,0,0,0
2023-05-01T10:42:39.926,14.32,0,0,0
2023-05-01T10:42:41.012,14.32,0,0,0
2023-05-01T10:42:42.065,14.32,0,0,0
2023-05-01T10:42:43.119,14.32,0,0,0
2023-05-01T10:42:44.197,14.32,0,0,0
2023-05-01T10:42:45.258,14.32,0,0,0
2023-05-01T10:42:46.343,14.32,0,0,0
2023-05-01T10:42:47.397,14.32,0,0,0
2023-05-01T10:42:48.466,14.41,0.135,0,0
2023-05-01T10:42:49.531,15.09,1.776,0.01,0.01
2023-05-01T10:42:50.589,18.17,5.39,0.06,0.05
2023-05-01T10:42:51.691,29.92,7.743,0.17,0.12
2023-05-01T10:42:52.760,44.53,7.39,0.32,0.18
2023-05-01T10:42:53.846,53.54,2.713,0.41,0.21
2023-05-01T10:42:54.883,55.13,0.312,0.43,0.22
2023-05-01T10:42:55.953,55.3,0.048,0.43,0.22
2023-05-01T10:42:57.022,55.36,0.014,0.43,0.22
2023-05-01T10:42:58.076,55.38,0.005,0.43,0.22
2023-05-01T10:42:59.145,55.4,0.006,0.43,0.22
2023-05-01T10:43:00.215,55.45,0.03,0.43,0.22
2023-05-01T10:43:01.268,55.56,0.069,0.44,0.22
2023-05-01T10:43:02.322,55.7,0.086,0.44,0.22
2023-05-01T10:43:03.407,55.97,0.155,0.44,0.22
2023-05-01T10:43:04.461,56.27,0.17,0.44,0.22
2023-05-01T10:43:05.514,56.58,0.163,0.44,0.22
2023-05-01T10:43:06.584,56.85,0.135,0.45,0.22
2023-05-01T10:43:07.653,57.1,0.125,0.45,0.22
2023-05-01T10:43:08.739,57.33,0.126,0.45,0.22
2023-05-01T10:43:09.792,57.58,0.137,0.45,0.22
2023-05-01T10:43:10.862,57.78,0.091,0.46,0.22
2023-05-01T10:43:11.931,57.92,0.07,0.46,0.22
2023-05-01T10:43:13.033,58.1,0.107,0.46,0.22
2023-05-01T10:43:14.102,58.29,0.126,0.46,0.22
2023-05-01T10:43:15.156,58.51,0.13,0.46,0.22
2023-05-01T10:43:16.241,58.76,0.143,0.47,0.22
2023-05-01T10:43:17.327,58.99,0.098,0.47,0.22
2023-05-01T10:43:18.428,59.15,0.103,0.47,0.22
2023-05-01T10:43:19.482,59.94,0.618,0.48,0.22
2023-05-01T10:43:20.583,60.52,0.189,0.48,0.22
2023-05-01T10:43:21.625,60.86,0.237,0.49,0.22
2023-05-01T10:43:22.690,61.47,0.277,0.49,0.22
2023-05-01T10:43:23.744,61.79,0.131,0.5,0.22
2023-05-01T10:43:24.813,61.94,0.052,0.5,0.22
2023-05-01T10:43:25.882,62.01,0.024,0.5,0.22
2023-05-01T10:43:26.968,62.06,0.013,0.5,0.22
2023-05-01T10:43:28.022,62.09,0.009,0.5,0.22
2023-05-01T10:43:29.059,62.12,0.017,0.5,0.22
2023-05-01T10:43:30.129,62.18,0.026,0.5,0.22
2023-05-01T10:43:31.182,62.23,0.029,0.5,0.22
2023-05-01T10:43:32.283,62.31,0.034,0.5,0.22
2023-05-01T10:43:33.337,62.38,0.028,0.5,0.22
2023-05-01T10:43:34.444,62.48,0.057,0.5,0.22
2023-05-01T10:43:35.508,62.59,0.045,0.5,0.22
2023-05-01T10:43:36.609,62.69,0.071,0.5,0.22
2023-05-01T10:43:37.679,62.89,0.114,0.5,0.22
2023-05-01T10:43:38.764,63.13,0.119,0.5,0.22
2023-05-01T10:43:39.850,63.29,0.068,0.5,0.22
2023-05-01T10:43:40.903,63.42,0.077,0.51,0.22
