shift1,intensity1,shift2,intensity2,shift3,intensity3
-531.953,-0.119281,-531.953,-0.182499,-531.953,0.444004
-531.543,-0.0748912,-531.543,-0.208406,-531.543,0.250848
-531.133,0.0971882,-531.133,-0.0258599,-531.133,0.238432
-530.723,0.351604,-530.723,0.238656,-530.723,0.359614
-530.314,0.601832,-530.314,0.412726,-530.314,0.472575
-529.904,0.67364,-529.904,0.415117,-529.904,0.454404
-529.494,0.622881,-529.494,0.331866,-529.494,0.405871
-529.084,0.672537,-529.084,0.232141,-529.084,0.320679
-528.674,0.87071,-528.674,0.089104,-528.674,0.175294
-528.264,0.982619,-528.264,-0.0909042,-528.264,0.0342636
-527.854,0.901088,-527.854,-0.166651,-527.854,-0.0128712
-527.445,0.699645,-527.445,-0.100674,-527.445,-0.00329914
-527.035,0.41626,-527.035,-0.0154923,-527.035,-0.0799357
-526.625,0.17386,-526.625,0.0225857,-526.625,-0.241606
-526.215,0.13165,-526.215,0.036256,-526.215,-0.427794
-525.805,0.185036,-525.805,0.088904,-525.805,-0.507398
-525.395,0.203644,-525.395,0.0689005,-525.395,-0.393159
-524.985,0.119111,-524.985,-0.0870386,-524.985,-0.163653
-524.576,-0.0320983,-524.576,-0.221563,-524.576,0.00987525
-524.166,-0.126118,-524.166,-0.275386,-524.166,0.0686727
-523.756,-0.117759,-523.756,-0.362286,-523.756,0.0896244
-523.346,0.0269214,-523.346,-0.436862,-523.346,0.0630038
-522.936,0.191934,-522.936,-0.462767,-522.936,0.0393609
-522.526,0.210841,-522.526,-0.478966,-522.526,0.161415
-522.116,0.199277,-522.116,-0.423492,-522.116,0.268928
-521.707,0.287006,-521.707,-0.272208,-521.707,0.276422
-521.297,0.311797,-521.297,-0.100076,-521.297,0.453231
-520.887,0.307993,-520.887,0.0984652,-520.887,0.733953
-520.477,0.353043,-520.477,0.268618,-520.477,0.847236
-520.067,0.366252,-520.067,0.258125,-520.067,0.771465
-519.657,0.278461,-519.657,0.129661,-519.657,0.565489
-519.247,0.169754,-519.247,-0.00556766,-519.247,0.37103
-518.838,0.124154,-518.838,-0.043643,-518.838,0.29801
-518.428,0.0406837,-518.428,0.0384732,-518.428,0.356904
-518.018,-0.0593517,-518.018,0.225812,-518.018,0.440919
-517.608,-0.0460821,-517.608,0.425055,-517.608,0.454745
-517.198,0.0571311,-517.198,0.593129,-517.198,0.465621
-516.788,0.163515,-516.788,0.764484,-516.788,0.413509
-516.378,0.183851,-516.378,0.850893,-516.378,0.329485
-515.969,0.0515619,-515.969,0.842056,-515.969,0.336475
-515.559,-0.137479,-515.559,0.770257,-515.559,0.336253
-515.149,-0.231908,-515.149,0.541953,-515.149,0.292685
-514.739,-0.181607,-514.739,0.267546,-514.739,0.304667
-514.329,0.0249239,-514.329,0.118164,-514.329,0.329716
-513.919,0.183112,-513.919,0.0290573,-513.919,0.266687
-513.509,0.13834,-513.509,-0.0288237,-513.509,0.211048
-513.1,0.124848,-513.1,-0.0100448,-513.1,0.188598
-512.69,0.264913,-512.69,0.0470419,-512.69,0.159886
-512.28,0.453639,-512.28,0.107121,-512.28,0.274502
