Angle,Intensity
3.02,2383.4
3.04,2298.6
3.06,2350.4
3.08,2262.8
3.1,2184.8
3.12,2201.5
3.14,2218.3
3.16,2129.5
3.18,2052.2
3.2,2028.2
3.22,2035.8
3.24,1988.4
3.26,1966.6
3.28,1971.4
3.3,1954.7
3.32,1920.1
3.34,1906.3
3.36,1886.1
3.38,1806.1
3.4,1872.5
3.42,1808.7
3.44,1742.8
3.46,1818.7
3.48,1852.2
3.5,1776.1
3.52,1714.5
3.54,1746
3.56,1806.2
3.58,1808.9
3.6,1769.3
3.62,1711.9
3.64,1724.8
3.66,1687.1
3.68,1638
3.7,1611.4
3.72,1676.9
3.74,1654.8
3.76,1653.3
3.78,1664.5
3.8,1647.8
3.82,1618
3.84,1607.5
3.86,1615.2
3.88,1636.8
3.9,1623.9
3.92,1633.3
3.94,1656.5
3.96,1678.2
3.98,1600.5
4,1620.3
4.02,1663
4.04,1694.9
4.06,1716.2
4.08,1723.1
4.1,1742.5
4.12,1761.3
4.14,1717.2
4.16,1700.6
4.18,1690.7
4.2,1678.7
4.22,1654.4
4.24,1709.1
4.26,1671.4
4.28,1630
4.3,1701.9
4.32,1682.9
4.34,1711.3
4.36,1734.2
4.38,1713.3
4.4,1687.4
4.42,1663.8
4.44,1649.3
4.46,1656.1
4.48,1735.3
4.5,1733.3
4.52,1673
4.54,1606
4.56,1680.7
4.58,1679.3
4.6,1691.1
4.62,1705.3
4.64,1670.3
4.66,1644.5
4.68,1610.8
4.7,1605
4.72,1672.8
4.74,1657.1
4.76,1627
4.78,1592.7
4.8,1568.6
4.82,1648.6
4.84,1647.5
4.86,1644.1
4.88,1665
4.9,1613.9
4.92,1568.4
4.94,1580.5
4.96,1628.6
4.98,1576
5,1626.4
5.02,1610.1
5.04,1559.4
5.06,1611.2
5.08,1587.5
5.1,1594.2
5.12,1604.9
5.14,1571.4
5.16,1585.3
5.18,1582.8
5.2,1597.8
5.22,1652.7
5.24,1605.5
5.26,1623.8
5.28,1639
5.3,1628.5
5.32,1705.4
5.34,1620.2
5.36,1570.8
5.38,1601.5
5.4,1622.1
5.42,1626.3
5.44,1616.6
5.46,1605.7
5.48,1621.7
5.5,1633.5
5.52,1650.9
5.54,1653.1
5.56,1608.9
5.58,1584.1
5.6,1632.9
5.62,1689.1
5.64,1691.2
5.66,1672.2
5.68,1723
5.7,1750.3
5.72,1701.2
5.74,1594.5
5.76,1633.9
5.78,1670.3
5.8,1668.9
5.82,1711.6
5.84,1692.1
5.86,1675.5
5.88,1672.7
5.9,1675.7
5.92,1728.7
5.94,1730.6
5.96,1702.2
5.98,1692.3
6,1701.6
6.02,1736.1
6.04,1767
6.06,1767.4
6.08,1778.8
6.1,1864.2
6.12,1914.4
6.14,1873.3
6.16,1855
6.18,1910.4
6.2,1973.8
6.22,2008
6.24,1962.3
6.26,2065.8
6.28,2154.9
6.3,2199.4
6.32,2220
6.34,2287.9
6.36,2355.2
6.38,2437.3
6.4,2569.1
6.42,2800.6
6.44,2995.8
6.46,3253.9
6.48,3670.8
6.5,3790.4
6.52,3367.6
6.54,2696.2
6.56,2026.2
6.58,1828.2
6.6,1730.1
6.62,1685.7
6.64,1666.7
6.66,1630.1
6.68,1599.3
6.7,1620.6
6.72,1671.9
6.74,1656.6
6.76,1572.7
6.78,1577.3
6.8,1624.3
6.82,1595.3
6.84,1565.7
6.86,1563.3
6.88,1567.2
6.9,1553.5
6.92,1584.7
6.94,1563
6.96,1552.3
6.98,1590.7
7,1586.9
7.02,1547.1
7.04,1522.8
7.06,1532
7.08,1546.5
7.1,1563.4
7.12,1559.9
7.14,1532.1
7.16,1487.2
7.18,1519.1
7.2,1520.9
7.22,1511
7.24,1553.7
7.26,1536.5
7.28,1537.2
7.3,1540.9
7.32,1525.4
7.34,1589.4
7.36,1555.1
