cycle number,ssd,ssd-error,msd,msd-error,cess,cess-err,cems,cems-err
1,133.93119,2.496426349,153.05033,2.778066302,79.32690995,3.087009576,88.57856,2.492437803
2,133.47639,1.82443449,152.3860133,3.276336838,100.0933417,0.5258294,100.1689633,0.577348041
3,132.56108,1.411554841,151.0470667,3.165864486,100.9388251,0.271571577,100.6090433,0.932376477
4,131.65845,1.173175003,149.4950867,3.274258333,101.2524729,0.132412502,100.8789767,0.996685775
5,129.9698,0.355702995,148.5247133,2.882861108,100.7653742,0.85527994,100.9327933,0.95517275
6,128.20539,0.865767401,147.20952,2.847242833,101.2737557,0.238743323,101.0118633,0.863042191
7,126.879755,0.713760656,145.6023967,2.976821251,101.2647291,0.131594751,100.9577367,0.92125029
8,125.53907,0.717105271,144.49148,2.674161302,101.2366581,0.001530788,100.9800133,0.890384324
9,124.247345,0.600991267,143.1039867,2.590890656,101.3276358,0.100413522,101.04442,0.865958158
10,122.85902,0.521307403,141.8139833,2.658954911,101.2980531,0.076697039,101.0243833,0.777305323
11,121.601605,0.349515811,140.5562833,2.589671858,101.3841165,0.137697346,101.0712733,0.925026072
12,120.357025,0.161368839,139.4484733,2.443752636,101.3861455,0.142576409,101.1412633,0.954528954
13,119.1146,0.083481027,138.2660367,2.395667746,101.2178005,0.084634864,101.08682,0.832009966
14,117.888055,0.210498618,137.1108067,2.351067205,101.2773266,0.263655064,101.0703133,0.820139451
15,116.707185,0.184477088,135.81598,2.203678868,101.4057932,0.007598998,101.11844,0.918053781
16,115.478115,0.342685159,134.5847967,2.245437842,101.2968761,0.153821364,101.1361867,0.88977179
17,114.21785,0.311494679,133.6278133,2.293153068,101.3191979,0.007127866,101.1934967,0.784799488
18,113.06325,0.269266262,132.4115267,2.377314926,101.3525529,0.009188047,101.1226567,0.831095235
19,111.727175,0.450391664,131.1420233,2.499935441,101.2551589,0.176354215,101.0955,0.831846762
20,110.583795,0.434807031,130.1373467,2.405341028,101.3944711,0.006621997,101.1932133,0.854315941
21,109.43942,0.640794307,129.04671,2.292102841,101.4062519,0.221957991,101.12082,0.910909179
22,108.3964,0.698197236,127.97747,2.241255663,101.4988279,0.081201635,101.1851033,0.925753244
23,107.316875,0.663471222,126.9665933,2.222262913,101.4605519,0.001632586,101.2522667,0.926728871
24,106.22685,0.856051754,126.0331067,2.199954224,101.4300259,0.24002934,101.1866933,0.852034601
25,105.2622,1.149741484,124.9086367,2.139419114,101.5419499,0.32531943,101.08198,0.860312128
26,104.31782,1.324849407,123.8338733,2.069776479,101.574801,0.198102893,101.1406533,0.904930554
27,103.349565,1.421079569,122.9047967,1.896106486,101.5392331,0.127613796,101.2665367,1.013490245
28,102.35029,1.487498109,121.89193,1.942142515,101.5238422,0.102466211,101.2230867,0.858616332
