SS,,MSTF,
0.60111,59.2,0.2291,503.2182
0.60761,60.4,0.23565,345.7652
0.61412,59.2,0.24219,294.6889
0.62062,59.7,0.24873,258.4545
0.62712,63.3,0.25527,233.7892
0.63362,59.5,0.26181,211.5814
0.64012,59.3,0.26835,198.366
0.64662,62.7,0.27489,185.653
0.65312,62.6,0.28143,176.9345
0.65962,58,0.28796,164.6119
0.66611,61.7,0.2945,158.9885
0.67261,63.15,0.30104,152.5215
0.6791,63.85,0.30758,144.8577
0.6856,65.5,0.31411,138.7973
0.69209,69.05,0.32065,136.257
0.69858,72.4,0.32719,129.9815
0.70507,71,0.33372,127.6325
0.71156,77.95,0.34025,119.13
0.71805,76.5,0.34679,120.1394
0.72454,84.05,0.35332,115.0271
0.73102,86.8,0.35986,112.5304
0.73751,98.6,0.36639,112.0009
0.74399,99.5,0.37292,107.6286
0.75047,111.2,0.37945,107.445
0.75696,110.7333,0.38598,103.1028
0.76344,114.2,0.39251,101.9542
0.76992,116.8333,0.39904,100.325
0.77639,118.1333,0.40557,97.52612
0.78287,118.9,0.4121,98.25069
0.78935,117.0333,0.41863,95.60867
0.79582,114.7,0.42515,95.62803
0.80229,112.0333,0.43168,94.97047
0.80877,106.2333,0.43821,93.20297
0.81524,107.1667,0.44473,93.69756
0.82171,115,0.45126,91.32984
0.82817,112.15,0.45778,91.9343
0.83464,113.25,0.4643,91.56994
0.84111,112.775,0.47082,90.299
0.84757,109.25,0.47735,90.31002
0.85404,110.125,0.48387,89.31711
0.8605,115.5,0.49039,89.40215
0.86696,113.325,0.49691,88.74999
0.87342,112.675,0.50342,88.19953
0.87988,114,0.50994,87.98866
0.88633,112.925,0.51646,87.42977
0.89279,117.625,0.52298,87.18678
0.89924,122.05,0.52949,87.11169
0.9057,128.08,0.53601,86.35161
0.91215,136.5,0.54252,85.85539
0.9186,143.26,0.54903,86.50375
0.92505,150.46,0.55554,85.56053
0.93149,158.24,0.56206,85.50959
0.93794,170.6,0.56857,85.46387
0.94438,172.2,0.57508,85.20448
0.95083,177.3,0.58159,84.49799
0.95727,175.12,0.58809,84.63773
0.96371,179.92,0.5946,84.95838
0.97015,184.12,0.60111,84.6199
0.97658,191.25,0.60761,84.40943
0.98302,198.5167,0.61412,84.25245
0.98945,203.95,0.62062,83.79018
0.99589,208.7167,0.62712,84.38279
1.00232,210.5667,0.63362,83.92659
1.00875,206.2667,0.64012,83.51736
1.01518,200.85,0.64662,84.02716
1.02161,198.3333,0.65312,83.61015
1.02803,191.4167,0.65962,83.76953
1.03445,188.4167,0.66611,83.84583
1.04088,182.7833,0.67261,83.60477
1.0473,182.4667,0.6791,84.0543
1.05372,191.0571,0.6856,84.13896
1.06013,190.1429,0.69209,84.2979
1.06655,193.1714,0.69858,84.22389
1.07296,197.9857,0.70507,84.22078
1.07938,198.5714,0.71156,84.91444
1.08579,201.3571,0.71805,84.36917
1.0922,202.5143,0.72454,84.82086
1.09861,211.6125,0.73102,84.94385
1.10501,212.6572,0.73751,85.21196
1.11142,212.3286,0.74399,85.12797
1.11782,217.1429,0.75047,85.20785
1.12422,220.4125,0.75696,85.9253
1.13062,223.625,0.76344,86.32518
1.13702,219.9375,0.76992,86.47405
1.14342,221.15,0.77639,86.897
1.14981,216.3375,0.78287,86.82054
1.15621,221.125,0.78935,86.90148
1.1626,216.95,0.79582,87.17713
1.16899,223.35,0.80229,87.42639
1.17538,219.55,0.80877,87.53519
1.18176,221.95,0.81524,87.69277
1.18815,219.0625,0.82171,88.13592
1.19453,231.1875,0.82817,87.9586
1.20091,235.0625,0.83464,88.629
1.20729,234.3125,0.84111,88.75929
1.21367,234.9375,0.84757,89.16191
1.22004,233.15,0.85404,89.36691
1.22642,230.5,0.8605,89.57359
1.23279,236.225,0.86696,89.99143
1.23916,231.975,0.87342,90.31145
1.24553,228.575,0.87988,91.3508
1.25189,231.625,0.88633,91.68037
1.25826,230.975,0.89279,92.15469
1.26462,231.1125,0.89924,93.34866
1.27098,233.4,0.9057,94.08681
1.27734,232.5444,0.91215,95.23892
1.2837,228.6778,0.9186,96.68459
1.29005,228.9,0.92505,98.06313
1.29641,231.9,0.93149,99.71619
1.30276,228.1,0.93794,101.276
1.30911,226.5111,0.94438,103.7172
1.31546,228.1222,0.95083,105.4292
1.3218,224.7333,0.95727,107.8751
1.32815,226.4778,0.96371,109.7811
1.33449,226.3555,0.97015,111.1246
1.34083,235.6111,0.97658,113.3652
1.34717,233.6,0.98302,114.3036
1.3535,238.4555,0.98945,116.375
1.35984,249.5222,0.99589,117.5524
1.36617,267.3778,1.00232,119.3249
1.3725,310.5445,1.00875,120.5859
1.37883,321.8333,1.01518,121.1588
1.38515,290.5111,1.02161,122.6447
1.39148,252.1,1.02803,122.908
1.3978,237.9222,1.03445,123.1676
1.40412,230.6,1.04088,124.1731
1.41044,229.6222,1.0473,123.169
1.41675,228.45,1.05372,123.7922
1.42307,229.92,1.06013,123.5029
1.42938,228.44,1.06655,123.9665
1.43569,229.58,1.07296,123.5726
1.442,234.18,1.07938,124.1004
1.4483,233.2,1.08579,124.3957
1.45461,235.5364,1.0922,124.4257
1.46091,238.29,1.09861,124.4177
1.46721,242.22,1.10501,124.302
1.47351,243.91,1.11142,123.7535
1.4798,245.85,1.11782,123.6791
1.48609,252.24,1.12422,122.9249
1.49239,256.7,1.13062,123.0367
1.49867,256.8,1.13702,123.0865
1.50496,253.81,1.14342,122.7066
1.51124,255.02,1.14981,123.8533
1.51753,251.47,1.15621,123.1658
1.52381,248.49,1.1626,123.3259
1.53008,246.14,1.16899,123.6613
1.53636,239.13,1.17538,124.2646
1.54263,239.6,1.18176,124.7627
1.54891,234.25,1.18815,125.4392
1.55517,228.82,1.19453,126.1648
1.56144,224.4454,1.20091,126.3672
1.56771,221.1182,1.20729,126.8544
1.57397,217.9273,1.21367,127.2358
1.58023,217.8909,1.22004,127.4958
1.58649,214.4091,1.22642,128.0176
1.59274,210.9182,1.23279,128.2036
1.59899,205.5909,1.23916,128
1.60525,206.9273,1.24553,128.5003
1.61149,204.0818,1.25189,129.3829
1.61774,201.7545,1.25826,129.1991
1.62399,200.51,1.26462,129.3437
1.63023,201.8182,1.27098,129.8386
1.63647,200.3091,1.27734,129.4984
1.6427,195.9,1.2837,130.4219
1.64894,196.6417,1.29005,130.4196
1.65517,198.3636,1.29641,131.2372
1.6614,195.7818,1.30276,131.5754
1.66763,198.4273,1.30911,131.3788
1.67385,194.3818,1.31546,132.0212
1.68008,195.6909,1.3218,132.6601
1.6863,193.4636,1.32815,133.6452
1.69252,193.6182,1.33449,133.8796
1.69873,194.0333,1.34083,134.2047
1.70494,191.8917,1.34717,134.1383
1.71116,195.05,1.3535,133.5777
1.71737,192.925,1.35984,134.1496
1.72357,196.95,1.36617,134.1311
1.72978,195.3417,1.3725,135.9142
1.73598,200.5083,1.37883,140.3758
1.74218,201.7,1.38515,148.1414
1.74837,204.8583,1.39148,160.7943
1.75457,206.3167,1.3978,170.0856
1.76076,207.925,1.40412,178.4525
1.76695,209.1364,1.41044,179.6796
1.77313,213.9667,1.41675,173.7075
1.77932,215.5333,1.42307,167.1452
1.7855,217.5833,1.42938,158.9956
1.79168,219.4167,1.43569,154.5285
1.79786,217.0417,1.442,155.0975
1.80403,217.4167,1.4483,160.5179
1.8102,213.3417,1.45461,170.2321
1.81637,210.8167,1.46091,180.9314
1.82254,210.5417,1.46721,190.6127
1.8287,207.2917,1.47351,195.335
1.83486,204.9333,1.4798,193.1579
1.84102,204.5,1.48609,183.9792
1.84718,203.4769,1.49239,169.4722
1.85333,201.3643,1.49867,156.832
1.85948,200.1462,1.50496,147.05
1.86563,197.4769,1.51124,141.9003
1.87178,197.1,1.51753,137.9006
1.87792,196.3385,1.52381,135.2732
1.88406,196.4077,1.53008,132.823
1.8902,197.1461,1.53636,130.9924
1.89633,199.8231,1.54263,129.9323
1.90247,200.3769,1.54891,128.777
1.9086,199.1667,1.55517,128.1242
1.91472,200.2154,1.56144,128.2882
1.92085,203.0231,1.56771,127.7977
1.92697,201.3231,1.57397,129.5395
1.93309,200.2077,1.58023,135.9465
1.93921,197.9077,1.58649,138.7871
1.94532,197.1539,1.59274,135.6782
1.95143,193.1231,1.59899,135.5932
1.95754,191.3615,1.60525,136.4876
1.96365,184.4692,1.61149,136.2785
1.96975,179.6923,1.61774,135.3325
1.97585,175.3615,1.62399,132.3753
1.98195,171.1357,1.63023,129.3994
1.98805,168.4072,1.63647,127.2692
1.99414,163.0571,1.6427,125.1467
2.00023,161.0571,1.64894,123.3114
2.00632,156.0786,1.65517,120.4997
2.0124,153.3786,1.6614,119.2683
2.01848,150.9786,1.66763,117.9377
2.02456,148.7143,1.67385,116.8906
