SS-time,SS-voltage,MSTF-time,MSTF-voltage,,cycle number,SS,SS-error,MSTF,MSTF-error
2.78E-04,1.28902,2.78E-04,1.06062,,1,76.76522,0.99958,84.60017,1.45127
5.56E-04,1.28908,5.56E-04,1.0607,,2,88.01358,0.84161,88.89737,1.39121
8.33E-04,1.2891,8.34E-04,1.06072,,3,90.72009,0.75679,90.75453,1.03636
0.00111,1.28923,0.00111,1.0607,,4,92.21361,0.68593,92.12939,1.03722
0.00139,1.28915,0.00139,1.06078,,5,93.83399,0.38459,93.13075,0.94446
0.00139,1.28915,0.00139,1.06078,,6,94.44674,0.50793,93.52368,0.94691
0.00973,0.57365,0.00973,0.46222,,7,94.01343,0.42837,93.66687,0.85387
0.01807,0.35898,0.01807,0.24547,,8,93.43475,0.77897,93.9391,0.85933
0.0264,0.11199,0.0264,0.04692,,9,93.93055,0.605,94.23689,0.61819
0.03473,-0.06656,0.03473,-0.04528,,10,94.47132,0.52216,94.29342,0.88596
0.04307,-0.04121,0.04307,-0.03513,,11,94.91649,0.335,94.34562,0.62401
0.0514,-0.03649,0.0514,-0.03276,,12,94.5867,0.28273,94.46473,0.4657
0.05973,-0.03461,0.05973,-0.03147,,13,94.01847,0.29284,94.43111,0.65266
0.06807,-0.03347,0.06807,-0.03052,,14,94.2171,0.42241,94.59264,0.4671
0.0764,-0.03273,0.0764,-0.02983,,15,94.77972,0.64749,94.59468,0.51731
0.08473,-0.03218,0.08473,-0.02913,,16,94.69191,0.48108,94.60627,0.48819
0.09307,-0.03154,0.09307,-0.02865,,17,94.92322,0.6584,94.52503,0.575
0.1014,-0.03105,0.1014,-0.02816,,18,94.89764,0.49542,94.8483,0.60775
0.10973,-0.03043,0.10973,-0.02763,,19,94.5698,0.57694,94.6152,0.38554
0.11807,-0.03006,0.11807,-0.0273,,20,94.64991,0.25102,94.72204,0.56558
0.1264,-0.02954,0.1264,-0.02702,,21,94.53424,0.21088,94.73642,0.29194
0.13473,-0.02912,0.13473,-0.02666,,22,94.65821,0.02116,94.55847,0.43367
