Name,Run #,Powder,Chemistry,Matrix Group,Matrix Mass %,Matrix Volume %,Matrix Latent Heat of Fusion,Gun,Oxygen,Kerosene,Stoichiometry,SD (in.),Barrel Length (in.),Velocity,Vel STD,Temperature,Temp STD,Powder Density g-cm^-3,Density (kg-cm^-3),Powder Diameter,Particle Radius,Particle Volume (cm^3),Particle Mass (kg),Momentum,Kinetic Energy,Momentum Matrix,KE Matrix,Momentum Matrix Latent Heat,,Residual Stress,Evolving Stress,ICP Coating Modulus,ECP Coating Modulus,Impulse Excitation Modulus,Dogbone Yield Stress
SX422 WC-9Co Neutral on Steel 16 in,WOKA262,SX422,WC-9Co,WC-Co,0.09,0.148,0.275,WOKA,6.5,1850,1.01,16,6,934,,1867,,15.02,0.01502,45,0.0225,4.77129E-05,7.16648E-07,0.000669696,3.13E-01,9.91E-05,4.63E-02,1.47E-05,6.70E-04,-220.65,94.58,498.8,,,
SX422 WC-9Co Oxy on Steel 12 in,WOKA263,SX422,WC-9Co,WC-Co,0.09,0.148,0.275,WOKA,5.5,1750,1.17,12,6,932,,1873,,15.02,0.01502,45,0.0225,4.77129E-05,7.16648E-07,0.000667847,3.11E-01,9.88E-05,4.61E-02,1.46E-05,6.68E-04,-201.4,102.33,440.7,,,
SX422 WC-9Co Oxy on Steel 16 in,WOKA261,SX422,WC-9Co,WC-Co,0.09,0.148,0.275,WOKA,5.5,1750,1.17,16,6,864,3.6,1719,23.7,15.02,0.01502,45,0.0225,4.77129E-05,7.16648E-07,0.000619033,2.67E-01,9.16E-05,3.96E-02,1.36E-05,6.19E-04,-126.98,45.86,224,,,
SA201 WC-12Co Neutral on Steel 16 in,WOKA255,SA201,WC-12Co,WC-Co,0.12,0.1932,0.275,WOKA,6.5,1850,1.01,16,6,934,6.4,1867,24.1,14.82,0.01482,45,0.0225,4.77129E-05,7.07106E-07,0.000660779,3.09E-01,1.28E-04,5.96E-02,2.47E-05,6.61E-04,-211.2,69.9,244.7,,,
SA201 WC-12Co Oxy on Steel 12 in,WOKA254,SA201,WC-12Co,WC-Co,0.12,0.1932,0.275,WOKA,5.5,1750,1.17,12,6,932,3.4,1873,28.7,14.82,0.01482,45,0.0225,4.77129E-05,7.07106E-07,0.000658954,3.07E-01,1.27E-04,5.93E-02,2.46E-05,6.59E-04,-246.41,43.76,303.3,,,
SA201 WC-12Co Oxy on Steel 16 in,WOKA253,SA201,WC-12Co,WC-Co,0.12,0.1932,0.275,WOKA,5.5,1750,1.17,16,6,865,4.7,1766,31.0,14.82,0.01482,45,0.0225,4.77129E-05,7.07106E-07,0.000611837,2.65E-01,1.18E-04,5.11E-02,2.28E-05,6.12E-04,-139.07,53.12,262.8,,,
SX158 WC-17Co Neutral on Steel 16 in,WOKA246,SX158,WC-17Co,WC-Co,0.17,0.2645,0.275,WOKA,6.5,1850,1.01,16,6,916,5.1,1810,23.9,14.49,0.01449,45,0.0225,4.77129E-05,6.9136E-07,0.000633203,2.90E-01,1.67E-04,7.67E-02,4.43E-05,6.33E-04,-244.8,6.48,381,,,
SX158 WC-17Co Oxy on Steel 12 in,WOKA238,SX158,WC-17Co,WC-Co,0.17,0.2645,0.275,WOKA,5.5,1750,1.17,12,6,941,3.9,1843,27.6,14.49,0.01449,45,0.0225,4.77129E-05,6.9136E-07,0.000650579,3.06E-01,1.72E-04,8.10E-02,4.55E-05,6.51E-04,-334,-15.4,436,,,
SX158 WC-17Co Oxy on Steel 16 in,WOKA237,SX158,WC-17Co,WC-Co,0.17,0.2645,0.275,WOKA,5.5,1750,1.17,16,6,885,4.7,1754,30.8,14.49,0.01449,45,0.0225,4.77129E-05,6.9136E-07,0.000611548,2.70E-01,1.62E-04,7.15E-02,4.28E-05,6.12E-04,-161,54.3,318,,,
SX477 WC-10Ni Neutral on Steel 16 in,WOKA258,SX477,WC-10Ni,WC-Ni,0.1,0.1633,0.293,WOKA,6.5,1850,1.01,16,6,982,7.4,1940,25.1,14.96,0.01496,44,0.022,4.46022E-05,6.67249E-07,0.000655493,3.22E-01,1.07E-04,5.26E-02,1.75E-05,6.55E-04,-401.4,-34.7,529,,,
SX477 WC-10Ni Oxy on Steel 12 in,WOKA215,SX477,WC-10Ni,WC-Ni,0.1,0.1633,0.293,WOKA,5.5,1750,1.17,12,6,1017,6.3,2040,37.4,14.96,0.01496,44,0.022,4.46022E-05,6.67249E-07,0.000678729,3.45E-01,1.11E-04,5.64E-02,1.81E-05,6.79E-04,-522,-145,440,,,
SX477 WC-10Ni Oxy on Steel 16 in,WOKA235,SX477,WC-10Ni,WC-Ni,0.1,0.1633,0.293,WOKA,5.5,1750,1.17,16,6,940,5.3,1909,27.7,14.96,0.01496,44,0.022,4.46022E-05,6.67249E-07,0.000627374,2.95E-01,1.02E-04,4.82E-02,1.67E-05,6.27E-04,-253.1,44.7,574.7,,,
WOKA 3503 WC-17Ni Neutral on Steel 16 in,,WOKA 3503,WC-17Ni,WC-Ni,0.17,0.2645,0.293,WOKA,6.5,1850,1.01,16,6,0,,,,14.49,0.01449,45,0.0225,4.77129E-05,6.9136E-07,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0,0,,,
WOKA 3503 WC-17Ni Oxy on Steel 12 in,WOKA218,WOKA 3503,WC-17Ni,WC-Ni,0.17,0.2645,0.293,WOKA,5.5,1750,1.17,12,6,963,4.2,1891,28.3,14.49,0.01449,45,0.0225,4.77129E-05,6.9136E-07,0.000665993,3.21E-01,1.76E-04,8.48E-02,4.66E-05,6.66E-04,-532,-157,747,,,
WOKA 3503 WC-17Ni Oxy on Steel 16 in,WOKA229,WOKA 3503,WC-17Ni,WC-Ni,0.17,0.2645,0.293,WOKA,5.5,1750,1.17,16,6,882,3.3,1762,23.8,14.49,0.01449,45,0.0225,4.77129E-05,6.9136E-07,0.000609442,2.69E-01,1.61E-04,7.10E-02,4.26E-05,6.09E-04,-223,0,559,,,
WOKA 3653 WC-CoCr Neutral on Steel 16 in,WOKA247,Metco 3653,WC-CoCr,WC-CoCr,0.14,0.234,0.309,WOKA,6.5,1850,1.01,16,6,952,3.2,1924,25.2,13.7,0.0137,45,0.0225,4.77129E-05,6.53667E-07,0.000622221,2.96E-01,1.46E-04,6.93E-02,3.41E-05,6.22E-04,-154,142,248,,,
WOKA 3653 WC-CoCr Oxy on Steel 12 in,WOKA239,Metco 3653,WC-CoCr,WC-CoCr,0.14,0.234,0.309,WOKA,5.5,1750,1.17,12,6,953,3.4,1933,25.0,13.7,0.0137,45,0.0225,4.77129E-05,6.53667E-07,0.000623233,2.97E-01,1.46E-04,6.95E-02,3.41E-05,6.23E-04,-206,122,254,,,
WOKA 3653 WC-CoCr Oxy on Steel 16 in,WOKA240,Metco 3653,WC-CoCr,WC-CoCr,0.14,0.234,0.309,WOKA,5.5,1750,1.17,16,6,900,4.1,1897,28.8,13.7,0.0137,45,0.0225,4.77129E-05,6.53667E-07,0.000588466,2.65E-01,1.38E-04,6.20E-02,3.22E-05,5.88E-04,-94.5,149,232,,,
JK135 CrC-NiCr Neutral on Steel 16 in,WOKA250,JK135,CrC-NiCr,CrC-NiCr,,,0.3132,WOKA,6.5,1850,1.01,16,6,0,,,,7.03,0.00703,53,0.0265,7.79518E-05,5.48001E-07,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,#DIV/0!,-197.5,-143.9,136.4,,,
JK135 CrC-NiCr Ocy on Steel 12 in,WOKA248,JK135,CrC-NiCr,CrC-NiCr,,,0.3132,WOKA,5.5,1750,1.17,12,6,675,19.8,2291,83.3,7.03,0.00703,53,0.0265,7.79518E-05,5.48001E-07,0.000370132,1.25E-01,0.00E+00,0.00E+00,0.00E+00,#DIV/0!,-359,-259,130,,,
JK135 CrC-NiCr Oxy on Steel 16 in,WOKA249,JK135,CrC-NiCr,CrC-NiCr,,,0.3132,WOKA,5.5,1750,1.17,16,6,370,9.0,2448,145.7,7.03,0.00703,53,0.0265,7.79518E-05,5.48001E-07,0.000202633,3.75E-02,0.00E+00,0.00E+00,0.00E+00,#DIV/0!,-260,-223,75.5,,,
