Total Time (s),Cycle Elapsed Time (s),Total Cycles,Elapsed Cycles,Step,"Total Cycle Count(8800 (0,1) Waveform)","Position(8800 (0,1):Position) (mm)","Load(8800 (0,1):Load) (kN)",,
0,0,1,1,1,1,1.096807342,0.057294033,,
0.01,0.01,1,1,1,1,1.096778937,0.057315081,,
0.02,0.02,1,1,1,1,1.097071745,0.057396293,,
0.04,0.04,1,1,1,1,1.097213213,0.057679974,,17.91722327
0.05,0.05,1,1,1,1,1.097171955,0.057319831,,
0.07,0.07,1,1,1,1,1.096854281,0.057134032,,
0.09,0.09,1,1,1,1,1.09709717,0.057366583,,
0.1,0.1,1,1,1,1,1.097131536,0.057043601,,
0.12,0.12,1,1,1,1,1.096973211,0.05731741,,
0.13,0.13,1,1,1,1,1.096976005,0.057052914,,
0.14,0.14,1,1,1,1,1.096970976,0.057179295,,
0.16,0.16,1,1,1,1,1.097184621,0.057822932,,
0.17,0.17,1,1,1,1,1.097016983,0.057720486,,
0.19,0.19,1,1,1,1,1.096978333,0.057051424,,
0.2,0.2,1,1,1,1,1.097066343,0.057809241,,
0.22,0.22,1,1,1,1,1.097088416,0.056580734,,
0.23,0.23,1,1,1,1,1.097014003,0.056919269,,
0.25,0.25,1,1,1,1,1.097195518,0.057722721,,
0.26,0.26,1,1,1,1,1.097237334,0.056966674,,
0.27,0.27,1,1,1,1,1.097067275,0.057477318,,
0.28,0.28,1,1,1,1,1.096933071,0.057183206,,
0.3,0.3,1,1,1,1,1.097300664,0.05721841,,
0.31,0.31,1,1,1,1,1.097312678,0.057120528,,
0.32,0.32,1,1,1,1,1.097139545,0.056761224,,
0.33,0.33,1,1,1,1,1.096924503,0.05761357,,
0.34,0.34,1,1,1,1,1.097014096,0.058195926,,
0.35,0.35,1,1,1,1,1.097349745,0.057321321,,
0.37,0.37,1,1,1,1,1.097301223,0.057079829,,
0.38,0.38,1,1,1,1,1.097094469,0.057255756,,
0.39,0.39,1,1,1,1,1.097126879,0.057663955,,
0.4,0.4,1,1,1,1,1.097182852,0.057817996,,
0.41,0.41,1,1,1,1,1.097255588,0.057119969,,
0.43,0.43,1,1,1,1,1.097563576,0.056823529,,
0.44,0.44,1,1,1,1,1.09756963,0.05670879,,
0.45,0.45,1,1,1,1,1.097388674,0.056673959,,
0.46,0.46,1,1,1,1,1.097216566,0.057622883,,
0.47,0.47,1,1,1,1,1.097202596,0.057593174,,
0.49,0.49,1,1,1,1,1.097167392,0.056752749,,
0.5,0.5,1,1,1,1,1.097304482,0.056855381,,
0.51,0.51,1,1,1,1,1.097359337,0.056616031,,
0.52,0.52,1,1,1,1,1.097296287,0.056515913,,
0.53,0.53,1,1,1,1,1.097038683,0.056921225,,
0.54,0.54,1,1,1,1,1.096868996,0.057582185,,
0.55,0.55,1,1,1,1,1.096846365,0.058207009,,
0.56,0.56,1,1,1,1,1.096875422,0.057740603,,
0.57,0.57,1,1,1,1,1.096940894,0.056985952,,
0.59,0.59,1,1,1,1,1.097086832,0.057133101,,
0.6,0.6,1,1,1,1,1.097107694,0.05802149,,
0.61,0.61,1,1,1,1,1.097089626,0.058679283,,
0.62,0.62,1,1,1,1,1.096989323,0.058516394,,
0.63,0.63,1,1,1,1,1.097062618,0.057863351,,
0.64,0.64,1,1,1,1,1.097080779,0.057399366,,
0.65,0.65,1,1,1,1,1.097056658,0.05665794,,
0.66,0.66,1,1,1,1,1.096979917,0.057206489,,
0.67,0.67,1,1,1,1,1.096986436,0.058084354,,
0.68,0.68,1,1,1,1,1.097044364,0.057982188,,
0.69,0.69,1,1,1,1,1.097137776,0.057284068,,
0.7,0.7,1,1,1,1,1.09729163,0.056386739,,
0.72,0.72,1,1,1,1,1.097008508,0.056437217,,
0.73,0.73,1,1,1,1,1.096647621,0.058101956,,
0.74,0.74,1,1,1,1,1.096702941,0.05814014,,
0.75,0.75,1,1,1,1,1.096962687,0.057140458,,
0.76,0.76,1,1,1,1,1.097054702,0.057252124,,
0.77,0.77,1,1,1,1,1.097054702,0.057660323,,
0.78,0.78,1,1,1,1,1.097052746,0.057459436,,
0.79,0.79,1,1,1,1,1.097028066,0.057456363,,
0.8,0.8,1,1,1,1,1.0972066,0.057206955,,
0.81,0.81,1,1,1,1,1.097359337,0.056764949,,
0.82,0.82,1,1,1,1,1.097162456,0.056869537,,
0.83,0.83,1,1,1,1,1.096903921,0.057121646,,
0.85,0.85,1,1,1,1,1.097267975,0.057123229,,
0.86,0.86,1,1,1,1,1.097327114,0.057128258,,
0.87,0.87,1,1,1,1,1.097194959,0.057315733,,
0.88,0.88,1,1,1,1,1.097051442,0.057809614,,
0.89,0.89,1,1,1,1,1.097053398,0.05771853,,
0.9,0.9,1,1,1,1,1.097090744,0.05667368,,
0.91,0.91,1,1,1,1,1.097173352,0.056285877,,
0.92,0.92,1,1,1,1,1.097164784,0.056722201,,
0.93,0.93,1,1,1,1,1.097132281,0.056905393,,
0.94,0.94,1,1,1,1,1.097134889,0.057040434,,
0.95,0.95,1,1,1,1,1.09705852,0.057712197,,
0.97,0.97,1,1,1,1,1.097075005,0.056985021,,
0.98,0.98,1,1,1,1,1.097169348,0.056615006,,
0.99,0.99,1,1,1,1,1.097229325,0.057053659,,
1,1,1,1,1,1,1.097162083,0.057528168,,
1.01,1.01,1,1,1,1,1.097010371,0.057509262,,
1.02,1.02,1,1,1,1,1.096908205,0.05745776,,
1.03,1.03,1,1,1,1,1.097142339,0.057391077,,
1.04,1.04,1,1,1,1,1.097289768,0.05730018,,
1.05,1.05,1,1,1,1,1.09717745,0.056948699,,
