Total Time (s),Cycle Elapsed Time (s),Total Cycles,Elapsed Cycles,Step,"Total Cycle Count(8800 (0,1) Waveform)","Position(8800 (0,1):Position) (mm)","Load(8800 (0,1):Load) (kN)",,
0,0,1,1,1,1,1.523046496,0.05931491,,
0.01,0.01,1,1,1,1,1.523181165,0.059638917,,
0.02,0.02,1,1,1,1,1.523198861,0.059350394,,
0.04,0.04,1,1,1,1,1.522993038,0.058894046,,18.09017509
0.05,0.05,1,1,1,1,1.523110571,0.059101731,,
0.07,0.07,1,1,1,1,1.52333055,0.059569441,,
0.09,0.09,1,1,1,1,1.523022096,0.058015063,,
0.1,0.1,1,1,1,1,1.522928218,0.059074908,,
0.12,0.12,1,1,1,1,1.523048266,0.059776101,,
0.13,0.13,1,1,1,1,1.523103307,0.059156679,,
0.14,0.14,1,1,1,1,1.52338587,0.05845027,,
0.16,0.16,1,1,1,1,1.523059348,0.059846696,,
0.17,0.17,1,1,1,1,1.522760021,0.059051439,,
0.19,0.19,1,1,1,1,1.523017998,0.058497209,,
0.2,0.2,1,1,1,1,1.522948521,0.05937079,,
0.22,0.22,1,1,1,1,1.523333437,0.058367942,,
0.23,0.23,1,1,1,1,1.523168499,0.059115887,,
0.25,0.25,1,1,1,1,1.523086171,0.060492288,,
0.26,0.26,1,1,1,1,1.523055344,0.059891492,,
0.27,0.27,1,1,1,1,1.52314652,0.058757141,,
0.28,0.28,1,1,1,1,1.523256603,0.05879337,,
0.3,0.3,1,1,1,1,1.523092038,0.059772935,,
0.31,0.31,1,1,1,1,1.523109174,0.05926732,,
0.32,0.32,1,1,1,1,1.523311737,0.059946347,,
0.33,0.33,1,1,1,1,1.523335113,0.059683807,,
0.34,0.34,1,1,1,1,1.523187405,0.058744382,,
0.35,0.35,1,1,1,1,1.523143261,0.058719423,,
0.37,0.37,1,1,1,1,1.523104424,0.058601052,,
0.38,0.38,1,1,1,1,1.523086264,0.058689248,,
0.39,0.39,1,1,1,1,1.522890313,0.059856195,,
0.4,0.4,1,1,1,1,1.523218698,0.05954504,,
0.41,0.41,1,1,1,1,1.523491948,0.058049429,,
0.43,0.43,1,1,1,1,1.523164867,0.058089104,,
0.44,0.44,1,1,1,1,1.523297674,0.058352761,,
0.45,0.45,1,1,1,1,1.523526779,0.05823914,,
0.46,0.46,1,1,1,1,1.523273087,0.05830517,,
0.47,0.47,1,1,1,1,1.522937252,0.058470573,,
0.49,0.49,1,1,1,1,1.522979162,0.05909754,,
0.5,0.5,1,1,1,1,1.523216276,0.058545079,,
0.51,0.51,1,1,1,1,1.523345171,0.058688596,,
0.52,0.52,1,1,1,1,1.522983446,0.059405528,,
0.53,0.53,1,1,1,1,1.523027125,0.05958071,,
0.54,0.54,1,1,1,1,1.523406452,0.059214793,,
0.55,0.55,1,1,1,1,1.523425265,0.058482774,,
0.56,0.56,1,1,1,1,1.522932968,0.058653671,,
0.57,0.57,1,1,1,1,1.52295653,0.059056561,,
0.59,0.59,1,1,1,1,1.52334573,0.058049615,,
0.6,0.6,1,1,1,1,1.523224845,0.058489293,,
0.61,0.61,1,1,1,1,1.523153133,0.05861884,,
0.62,0.62,1,1,1,1,1.523127987,0.059406832,,
0.63,0.63,1,1,1,1,1.52307099,0.060302299,,
0.64,0.64,1,1,1,1,1.523137952,0.059464853,,
0.65,0.65,1,1,1,1,1.523282121,0.058426149,,
0.66,0.66,1,1,1,1,1.523224006,0.058319606,,
0.67,0.67,1,1,1,1,1.523038394,0.058947224,,
0.68,0.68,1,1,1,1,1.522944423,0.059525762,,
0.69,0.69,1,1,1,1,1.523079651,0.059289765,,
0.7,0.7,1,1,1,1,1.523223913,0.058900472,,
0.72,0.72,1,1,1,1,1.52299993,0.059503876,,
0.73,0.73,1,1,1,1,1.522984936,0.058879051,,
0.74,0.74,1,1,1,1,1.523014831,0.058891904,,
0.75,0.75,1,1,1,1,1.522999371,0.059677009,,
0.76,0.76,1,1,1,1,1.523004494,0.058918912,,
0.77,0.77,1,1,1,1,1.523093994,0.057983305,,
0.78,0.78,1,1,1,1,1.523330177,0.05854778,,
0.79,0.79,1,1,1,1,1.523457582,0.05889535,,
0.8,0.8,1,1,1,1,1.523278582,0.058749784,,
0.81,0.81,1,1,1,1,1.523014831,0.05874075,,
0.82,0.82,1,1,1,1,1.523201003,0.058559049,,
0.83,0.83,1,1,1,1,1.523293483,0.058234669,,
0.85,0.85,1,1,1,1,1.522882304,0.059520267,,
0.86,0.86,1,1,1,1,1.523137207,0.059016608,,
0.87,0.87,1,1,1,1,1.523398071,0.058338325,,
0.88,0.88,1,1,1,1,1.523332971,0.058540422,,
0.89,0.89,1,1,1,1,1.523017625,0.058684312,,
0.9,0.9,1,1,1,1,1.522931944,0.058550946,,
0.91,0.91,1,1,1,1,1.523116532,0.058666617,,
0.92,0.92,1,1,1,1,1.523156392,0.058981311,,
0.93,0.93,1,1,1,1,1.523085426,0.058889575,,
0.94,0.94,1,1,1,1,1.523042212,0.058919936,,
0.95,0.95,1,1,1,1,1.523098091,0.059415679,,
0.97,0.97,1,1,1,1,1.523283611,0.05931668,,
0.98,0.98,1,1,1,1,1.523314065,0.058963243,,
0.99,0.99,1,1,1,1,1.523050128,0.058448501,,
1,1,1,1,1,1,1.522680207,0.058339164,,
1.01,1.01,1,1,1,1,1.522624141,0.059646275,,
1.02,1.02,1,1,1,1,1.522854644,0.059848465,,
