Total Time (s),Cycle Elapsed Time (s),Total Cycles,Elapsed Cycles,Step,"Total Cycle Count(8800 (0,1) Waveform)","Position(8800 (0,1):Position) (mm)","Load(8800 (0,1):Load) (kN)",,
0,0,1,1,1,1,1.593188219,0.056778826,,
0.01,0.01,1,1,1,1,1.593098625,0.056375004,,
0.02,0.02,1,1,1,1,1.593196042,0.05605733,,
0.04,0.04,1,1,1,1,1.593579933,0.055660028,,20.2687636
0.05,0.05,1,1,1,1,1.593403354,0.056278612,,
0.07,0.07,1,1,1,1,1.592892431,0.057360157,,
0.09,0.09,1,1,1,1,1.593138859,0.056823436,,
0.1,0.1,1,1,1,1,1.593351945,0.0568307,,
0.12,0.12,1,1,1,1,1.593549758,0.056225434,,
0.13,0.13,1,1,1,1,1.593400374,0.056731235,,
0.14,0.14,1,1,1,1,1.593131408,0.05675545,,
0.16,0.16,1,1,1,1,1.593435578,0.056972634,,
0.17,0.17,1,1,1,1,1.59328042,0.056653284,,
0.19,0.19,1,1,1,1,1.59297476,0.057159364,,
0.2,0.2,1,1,1,1,1.593264587,0.056983065,,
0.22,0.22,1,1,1,1,1.593491644,0.055896863,,
0.23,0.23,1,1,1,1,1.593491644,0.056090299,,
0.25,0.25,1,1,1,1,1.593355298,0.056234282,,
0.26,0.26,1,1,1,1,1.593355484,0.056563225,,
0.27,0.27,1,1,1,1,1.59344843,0.056357402,,
0.28,0.28,1,1,1,1,1.59352275,0.056058541,,
0.3,0.3,1,1,1,1,1.593310967,0.057053659,,
0.31,0.31,1,1,1,1,1.593295135,0.056349114,,
0.32,0.32,1,1,1,1,1.593389012,0.056201406,,
0.33,0.33,1,1,1,1,1.593324378,0.057007372,,
0.34,0.34,1,1,1,1,1.593264401,0.056768302,,
0.35,0.35,1,1,1,1,1.593218021,0.056621246,,
0.37,0.37,1,1,1,1,1.593152642,0.056385621,,
0.38,0.38,1,1,1,1,1.593156554,0.055984128,,
0.39,0.39,1,1,1,1,1.593330711,0.056835171,,
0.4,0.4,1,1,1,1,1.593515672,0.056908838,,
0.41,0.41,1,1,1,1,1.593432225,0.056631304,,
0.43,0.43,1,1,1,1,1.59341751,0.056976266,,
0.44,0.44,1,1,1,1,1.593252666,0.056779478,,
0.45,0.45,1,1,1,1,1.593313947,0.055531505,,
0.46,0.46,1,1,1,1,1.593527779,0.055492204,,
0.47,0.47,1,1,1,1,1.59366785,0.056331698,,
0.49,0.49,1,1,1,1,1.593450665,0.055688992,,
0.5,0.5,1,1,1,1,1.59330184,0.055176765,,
0.51,0.51,1,1,1,1,1.593291782,0.055673439,,
0.52,0.52,1,1,1,1,1.593301095,0.05688332,,
0.53,0.53,1,1,1,1,1.593233854,0.057622977,,
0.54,0.54,1,1,1,1,1.593118183,0.057178177,,
0.55,0.55,1,1,1,1,1.593293644,0.056405272,,
0.56,0.56,1,1,1,1,1.593322515,0.055888016,,
0.57,0.57,1,1,1,1,1.593294576,0.05554501,,
0.59,0.59,1,1,1,1,1.593238696,0.056445412,,
0.6,0.6,1,1,1,1,1.593210943,0.056095608,,
0.61,0.61,1,1,1,1,1.593095273,0.056045596,,
0.62,0.62,1,1,1,1,1.593132898,0.056536775,,
0.63,0.63,1,1,1,1,1.593262538,0.056521967,,
0.64,0.64,1,1,1,1,1.593385473,0.056385621,,
0.65,0.65,1,1,1,1,1.593337417,0.056464877,,
0.66,0.66,1,1,1,1,1.593244284,0.056651141,,
0.67,0.67,1,1,1,1,1.593151338,0.056659058,,
0.68,0.68,1,1,1,1,1.593083166,0.056522246,,
0.69,0.69,1,1,1,1,1.593056157,0.056550279,,
0.7,0.7,1,1,1,1,1.593104772,0.057107303,,
0.72,0.72,1,1,1,1,1.593351386,0.056619849,,
0.73,0.73,1,1,1,1,1.593296066,0.055973046,,
0.74,0.74,1,1,1,1,1.593258813,0.055977516,,
0.75,0.75,1,1,1,1,1.593307242,0.056901108,,
0.76,0.76,1,1,1,1,1.593465008,0.057029724,,
0.77,0.77,1,1,1,1,1.593446754,0.055482797,,
0.78,0.78,1,1,1,1,1.593215041,0.054830406,,
0.79,0.79,1,1,1,1,1.593067147,0.056266692,,
0.8,0.8,1,1,1,1,1.593075156,0.057454966,,
0.81,0.81,1,1,1,1,1.593084469,0.056666229,,
0.82,0.82,1,1,1,1,1.593093783,0.056406204,,
0.83,0.83,1,1,1,1,1.593103282,0.056443922,,
0.85,0.85,1,1,1,1,1.59333276,0.055959169,,
0.86,0.86,1,1,1,1,1.59338212,0.055727549,,
0.87,0.87,1,1,1,1,1.593372807,0.055550877,,
0.88,0.88,1,1,1,1,1.593370385,0.056323037,,
0.89,0.89,1,1,1,1,1.593334995,0.056702364,,
0.9,0.9,1,1,1,1,1.59317369,0.056426506,,
0.91,0.91,1,1,1,1,1.593345612,0.055975467,,
0.92,0.92,1,1,1,1,1.593511015,0.055837911,,
0.93,0.93,1,1,1,1,1.593353063,0.056188833,,
0.94,0.94,1,1,1,1,1.593063794,0.056980364,,
