Total Time (s),Cycle Elapsed Time (s),Total Cycles,Elapsed Cycles,Step,"Total Cycle Count(8800 (0,1) Waveform)","Position(8800 (0,1):Position) (mm)","Load(8800 (0,1):Load) (kN)",,
0,0,1,1,1,1,1.878129903,0.056447834,,
0.01,0.01,1,1,1,1,1.878115189,0.054842234,,
0.02,0.02,1,1,1,1,1.878234584,0.054421462,,
0.04,0.04,1,1,1,1,1.878136981,0.055508688,,
0.05,0.05,1,1,1,1,1.878006783,0.05618725,,22.06343412
0.07,0.07,1,1,1,1,1.878079798,0.056375749,,
0.09,0.09,1,1,1,1,1.877884593,0.055704266,,
0.1,0.1,1,1,1,1,1.878038075,0.055570062,,
0.12,0.12,1,1,1,1,1.878107738,0.055854954,,
0.13,0.13,1,1,1,1,1.877859634,0.056169182,,
0.14,0.14,1,1,1,1,1.877895769,0.05629044,,
0.16,0.16,1,1,1,1,1.878021125,0.056511164,,
0.17,0.17,1,1,1,1,1.878216703,0.05536247,,
0.19,0.19,1,1,1,1,1.877999146,0.055787712,,
0.2,0.2,1,1,1,1,1.877873417,0.055563822,,
0.22,0.22,1,1,1,1,1.878029879,0.056757033,,
0.23,0.23,1,1,1,1,1.87817945,0.056467764,,
0.25,0.25,1,1,1,1,1.878082406,0.055863336,,
0.26,0.26,1,1,1,1,1.878156912,0.055074599,,
0.27,0.27,1,1,1,1,1.878216703,0.054888986,,
0.28,0.28,1,1,1,1,1.8780418,0.055564567,,
0.3,0.3,1,1,1,1,1.877756257,0.055539235,,
0.31,0.31,1,1,1,1,1.877865967,0.055531226,,
0.32,0.32,1,1,1,1,1.877990578,0.055824779,,
0.33,0.33,1,1,1,1,1.877919983,0.055962522,,
0.34,0.34,1,1,1,1,1.877918121,0.056319218,,
0.35,0.35,1,1,1,1,1.878011067,0.056404155,,
0.37,0.37,1,1,1,1,1.878026527,0.05721394,,
0.38,0.38,1,1,1,1,1.877997656,0.057202112,,
0.39,0.39,1,1,1,1,1.878087808,0.056137145,,
0.4,0.4,1,1,1,1,1.878127855,0.055268034,,
0.41,0.41,1,1,1,1,1.878072161,0.055320561,,
