Total Time (s),Cycle Elapsed Time (s),Total Cycles,Elapsed Cycles,Step,"Total Cycle Count(8800 (0,1) Waveform)","Position(8800 (0,1):Position) (mm)","Load(8800 (0,1):Load) (kN)",,
0,0,1,1,1,1,0.627421643,0.061279628,,
0.01,0.01,1,1,1,1,0.627417173,0.061273668,,
0.02,0.02,1,1,1,1,0.62751743,0.061207265,,7.708969712
0.04,0.04,1,1,1,1,0.627367719,0.059830397,,
0.05,0.05,1,1,1,1,0.627191653,0.060147233,,
0.07,0.07,1,1,1,1,0.627279849,0.061563868,,
0.09,0.09,1,1,1,1,0.627202922,0.060430355,,
0.1,0.1,1,1,1,1,0.627402877,0.060262438,,
0.12,0.12,1,1,1,1,0.627343226,0.060685538,,
0.13,0.13,1,1,1,1,0.627459874,0.060449168,,
0.14,0.14,1,1,1,1,0.627621458,0.060247257,,
0.16,0.16,1,1,1,1,0.627352679,0.060820393,,
0.17,0.17,1,1,1,1,0.627315193,0.060774945,,
0.19,0.19,1,1,1,1,0.627416148,0.060617272,,
0.2,0.2,1,1,1,1,0.627453215,0.060904585,,
0.22,0.22,1,1,1,1,0.627485299,0.060823932,,
0.23,0.23,1,1,1,1,0.627612331,0.060024951,,
0.25,0.25,1,1,1,1,0.62756353,0.060284045,,
0.26,0.26,1,1,1,1,0.627626208,0.06073378,,
0.27,0.27,1,1,1,1,0.627538571,0.060959999,,
0.28,0.28,1,1,1,1,0.627257032,0.061407872,,
0.3,0.3,1,1,1,1,0.627181362,0.061063282,,
0.31,0.31,1,1,1,1,0.627442738,0.061013456,,
0.32,0.32,1,1,1,1,0.627613635,0.061077252,,
0.33,0.33,1,1,1,1,0.627531679,0.06122198,,
0.34,0.34,1,1,1,1,0.627473844,0.061248802,,
0.35,0.35,1,1,1,1,0.62735645,0.061060023,,
0.37,0.37,1,1,1,1,0.62737219,0.061682053,,
0.38,0.38,1,1,1,1,0.6274263,0.061274134,,
0.39,0.39,1,1,1,1,0.62748488,0.060130656,,
0.4,0.4,1,1,1,1,0.62753736,0.059742294,,
0.41,0.41,1,1,1,1,0.627390304,0.060852803,,
0.43,0.43,1,1,1,1,0.627157473,0.060841814,,
0.44,0.44,1,1,1,1,0.627248743,0.061019138,,
0.45,0.45,1,1,1,1,0.627336753,0.061440375,,
0.46,0.46,1,1,1,1,0.627286322,0.060982071,,
0.47,0.47,1,1,1,1,0.62722532,0.060070865,,
0.49,0.49,1,1,1,1,0.627343412,0.060016941,,
0.5,0.5,1,1,1,1,0.627400316,0.060860999,,
0.51,0.51,1,1,1,1,0.627534287,0.060996041,,
0.52,0.52,1,1,1,1,0.627441853,0.060543232,,
0.53,0.53,1,1,1,1,0.6272283,0.060240459,,
0.54,0.54,1,1,1,1,0.627113282,0.06047003,,
0.55,0.55,1,1,1,1,0.627088276,0.061017368,,
0.56,0.56,1,1,1,1,0.627260664,0.060594175,,
0.57,0.57,1,1,1,1,0.627379687,0.060165487,,
0.59,0.59,1,1,1,1,0.627020522,0.06131744,,
0.6,0.6,1,1,1,1,0.627130372,0.061190315,,
0.61,0.61,1,1,1,1,0.627445671,0.060531497,,
0.62,0.62,1,1,1,1,0.627423459,0.060686935,,
0.63,0.63,1,1,1,1,0.627268301,0.061123352,,
0.64,0.64,1,1,1,1,0.627314634,0.060998648,,
0.65,0.65,1,1,1,1,0.627466952,0.060741417,,
0.66,0.66,1,1,1,1,0.62749573,0.060548261,,
0.67,0.67,1,1,1,1,0.627385228,0.059937499,,
0.68,0.68,1,1,1,1,0.627184761,0.060274825,,
0.69,0.69,1,1,1,1,0.627186903,0.061467104,,
0.7,0.7,1,1,1,1,0.62732907,0.061655976,,
0.72,0.72,1,1,1,1,0.627306206,0.059990492,,
0.73,0.73,1,1,1,1,0.627550631,0.059977639,,
0.74,0.74,1,1,1,1,0.627385089,0.060889218,,
0.75,0.75,1,1,1,1,0.627015773,0.061016902,,
0.76,0.76,1,1,1,1,0.627075284,0.060107652,,
0.77,0.77,1,1,1,1,0.627364693,0.06002849,,
0.78,0.78,1,1,1,1,0.627352539,0.060290471,,
0.79,0.79,1,1,1,1,0.627359431,0.060890615,,
0.8,0.8,1,1,1,1,0.627572098,0.061211642,,
0.81,0.81,1,1,1,1,0.627605905,0.061114039,,
0.82,0.82,1,1,1,1,0.627354914,0.06072931,,
0.83,0.83,1,1,1,1,0.627179173,0.0602521,,
0.85,0.85,1,1,1,1,0.627333866,0.060336385,,
0.86,0.86,1,1,1,1,0.627505602,0.060812104,,
0.87,0.87,1,1,1,1,0.62769303,0.059994869,,
0.88,0.88,1,1,1,1,0.627518827,0.059180055,,
0.89,0.89,1,1,1,1,0.627186996,0.059865136,,
0.9,0.9,1,1,1,1,0.627056471,0.061015878,,
0.91,0.91,1,1,1,1,0.627258941,0.061090477,,
0.92,0.92,1,1,1,1,0.627350117,0.061134156,,
0.93,0.93,1,1,1,1,0.627388441,0.060731266,,
0.94,0.94,1,1,1,1,0.62749722,0.059657916,,
0.95,0.95,1,1,1,1,0.627353703,0.059836544,,
0.97,0.97,1,1,1,1,0.627247439,0.060444139,,
