wavelength0,Abs0,wavelength1,Abs1,wavelength2,Abs2
800,0.216313154,800,0.067160629,800,0.038190696
799,0.215306401,799,0.067793854,799,0.038650252
798,0.214941874,798,0.068028152,798,0.038155619
797,0.214596197,797,0.067097753,797,0.039120067
796,0.213883251,796,0.067803115,796,0.038658515
795,0.213898629,795,0.067645758,795,0.039188281
794,0.213527665,794,0.06748338,794,0.038482465
793,0.212506518,793,0.068278268,793,0.039842185
792,0.212512046,792,0.068386309,792,0.039292462
791,0.212109372,791,0.068096913,791,0.038537029
790,0.211483002,790,0.068335563,790,0.038692638
789,0.211154968,789,0.068516195,789,0.039159864
788,0.21112071,788,0.068427458,788,0.038768683
787,0.210578203,787,0.067846328,787,0.038995873
786,0.210402608,786,0.068093978,786,0.038193237
785,0.209966898,785,0.068096489,785,0.038670283
784,0.209094524,784,0.068427674,784,0.038875993
783,0.208995119,783,0.068688571,783,0.038809385
782,0.209130481,782,0.067515016,782,0.038269024
781,0.208047465,781,0.06853129,781,0.039002813
780,0.208161995,780,0.067865424,780,0.03854062
779,0.207361668,779,0.067439966,779,0.038645469
778,0.20719704,778,0.067573592,778,0.038549561
777,0.206757486,777,0.068269484,777,0.038701244
776,0.206378758,776,0.068276063,776,0.038951982
775,0.205708891,775,0.068185374,775,0.038433477
774,0.20541127,774,0.068738788,774,0.038719013
773,0.204946548,773,0.068270214,773,0.039140403
772,0.204507113,772,0.06918665,772,0.038379267
771,0.203915879,771,0.068995446,771,0.038765825
770,0.20355244,770,0.068302535,770,0.039145757
769,0.20306921,769,0.068812303,769,0.038800836
768,0.203352153,768,0.068420276,768,0.03891962
767,0.202600926,767,0.068922356,767,0.038855158
766,0.202150047,766,0.069091856,766,0.038997207
765,0.20205605,765,0.068451703,765,0.038464475
764,0.201857075,764,0.068398915,764,0.039236814
763,0.201532066,763,0.068391882,763,0.038101554
762,0.200794816,762,0.068770871,762,0.039030846
761,0.200705305,761,0.068501227,761,0.038661964
760,0.200349182,760,0.068853885,760,0.038593862
759,0.199468851,759,0.069230184,759,0.038746804
758,0.199050978,758,0.068814822,758,0.038923245
757,0.198831603,757,0.069170199,757,0.038267639
756,0.198437601,756,0.069419391,756,0.039365806
755,0.198036224,755,0.069263212,755,0.03877027
754,0.197506428,754,0.069484338,754,0.039057158
753,0.197538212,753,0.068760015,753,0.038925737
752,0.197215319,752,0.069100507,752,0.038833585
751,0.197175652,751,0.068972327,751,0.038629878
750,0.196983874,750,0.068544142,750,0.038625266
749,0.19627586,749,0.069080472,749,0.039366856
748,0.1958161,748,0.069066361,748,0.039305557
747,0.195226833,747,0.06990286,747,0.039473265
746,0.195489615,746,0.068701431,746,0.038763788
745,0.195301458,745,0.069571495,745,0.038690798
744,0.194670051,744,0.069586292,744,0.038484924
743,0.194361478,743,0.069772653,743,0.039186295
742,0.194096908,742,0.069134802,742,0.03892817
741,0.193873629,741,0.069564931,741,0.038887657
740,0.193290904,740,0.070068941,740,0.039551031
739,0.192920506,739,0.069940656,739,0.039233468
738,0.193019927,738,0.069497004,738,0.039026119
737,0.192879781,737,0.069499433,737,0.039241631
736,0.192546651,736,0.069431998,736,0.039150462
735,0.191972718,735,0.069541842,735,0.039208055
734,0.191860884,734,0.070019454,734,0.038872313
733,0.191821918,733,0.069635972,733,0.038916986
732,0.191502392,732,0.070035271,732,0.039045744
731,0.190872267,731,0.070580788,731,0.039660778
730,0.190724537,730,0.070069797,730,0.039157316
729,0.190566734,729,0.070562452,729,0.039706524
728,0.190639332,728,0.070049383,728,0.039082933
727,0.190083578,727,0.070396215,727,0.039227746
726,0.1902055,726,0.069817334,726,0.038975116
725,0.189440161,725,0.070624277,725,0.039507907
724,0.189579204,724,0.070272245,724,0.0395495
723,0.188966259,723,0.070723064,723,0.039982993
722,0.189096913,722,0.070756696,722,0.039451323
721,0.188613951,721,0.070903413,721,0.03937706
720,0.188878641,720,0.070666678,720,0.039310317
719,0.188086733,719,0.070923351,719,0.039623085
718,0.18795611,718,0.070998147,718,0.039986998
717,0.187637895,717,0.07127469,717,0.039786663
716,0.187578291,716,0.071102567,716,0.039626006
715,0.187395006,715,0.071302481,715,0.040004224
714,0.186946735,714,0.071456097,714,0.040298663
713,0.187078103,713,0.071254678,713,0.039653488
712,0.186777011,712,0.071521401,712,0.03989533
711,0.18664965,711,0.071390435,711,0.039732337
710,0.186209694,710,0.071727492,710,0.040155992
709,0.186321542,709,0.071699373,709,0.039541703
708,0.186190695,708,0.071473219,708,0.040180523
707,0.185938001,707,0.07160449,707,0.039990261
706,0.185521752,706,0.072281994,706,0.040124871
705,0.185568571,705,0.071764596,705,0.040142417
704,0.185344845,704,0.07196594,704,0.040260747
703,0.185240105,703,0.07186266,703,0.040141821
702,0.18490082,702,0.07213939,702,0.040132537
701,0.184874311,701,0.07226976,701,0.040404305
700,0.184431568,700,0.072735876,700,0.040544163
699,0.184232876,699,0.07266023,699,0.040471274
698,0.184281498,698,0.072379775,698,0.040760998
697,0.184296966,697,0.072228305,697,0.040322155
696,0.183748081,696,0.072687097,696,0.040945739
695,0.183753103,695,0.072640672,695,0.040862657
694,0.183785707,694,0.072635047,694,0.040739302
693,0.183256745,693,0.073144808,693,0.040959306
