theta (500C),intensity (500C)
0.2135,-1608.67419
0.21892,-1604.99548
0.22435,-1602.88565
0.22978,-1599.35658
0.2352,-1599.62799
0.24063,-1597.41727
0.24605,-1597.61551
0.25148,-1595.61911
0.25691,-1595.07098
0.26233,-1592.99966
0.26776,-1591.76162
0.27318,-1590.21854
0.27861,-1589.30716
0.28404,-1587.6226
0.28946,-1586.65901
0.29489,-1585.63364
0.30031,-1585.11449
0.30574,-1584.26538
0.31117,-1583.29964
0.31659,-1582.11291
0.32202,-1580.68665
0.32744,-1579.87384
0.33287,-1578.61845
0.3383,-1578.40703
0.34372,-1577.99796
0.34915,-1577.45678
0.35458,-1576.0295
0.36,-1575.28999
0.36543,-1574.077
0.37085,-1573.20006
0.37628,-1571.75711
0.38171,-1569.93275
0.38713,-1566.78571
0.39256,-1562.03082
0.39798,-1553.93178
0.40341,-1539.1014
0.40884,-1522.39285
0.41426,-1495.70538
0.41969,-1466.27161
0.42511,-1430.6591
0.43054,-1398.24729
0.43597,-1358.76177
0.44139,-1325.26574
0.44682,-1284.66253
0.45224,-1263.62533
0.45767,-1237.03423
0.4631,-1219.19659
0.46852,-1188.19283
0.47395,-1175.74447
0.47937,-1162.49044
0.4848,-1158.47137
0.49023,-1152.36846
0.49565,-1152.95144
0.50108,-1155.23101
0.5065,-1159.06646
0.51193,-1163.66799
0.51736,-1171.62612
0.52278,-1182.98415
0.52821,-1190.21395
0.53363,-1199.63152
0.53906,-1203.63277
0.54449,-1214.69723
0.54991,-1219.4212
0.55534,-1230.19143
0.56076,-1233.32949
0.56619,-1243.07656
0.57162,-1246.16119
0.57704,-1254.14837
0.58247,-1257.85607
0.58789,-1264.4096
0.59332,-1268.32735
0.59875,-1274.5715
0.60417,-1278.32327
0.6096,-1283.60812
0.61502,-1286.49038
0.62045,-1292.12847
0.62588,-1298.01263
0.6313,-1304.82345
0.63673,-1310.25195
0.64215,-1316.7702
0.64758,-1322.23837
0.65301,-1327.96832
0.65843,-1333.88808
0.66386,-1340.17812
0.66928,-1346.39184
0.67471,-1352.21169
0.68014,-1358.06158
0.68556,-1363.49091
0.69099,-1368.97024
0.69641,-1374.06472
0.70184,-1378.56742
0.70727,-1382.78048
0.71269,-1387.0409
0.71812,-1391.22865
0.72355,-1395.13532
0.72897,-1399.01456
0.7344,-1402.64314
0.73982,-1406.58079
0.74525,-1410.17361
0.75068,-1413.36901
0.7561,-1416.42304
0.76153,-1419.71954
0.76695,-1422.78365
0.77238,-1425.73075
0.77781,-1428.58077
0.78323,-1431.27396
0.78866,-1433.71334
0.79408,-1436.30544
0.79951,-1438.75597
0.80494,-1441.40624
0.81036,-1443.7472
0.81579,-1445.79235
0.82121,-1447.57562
0.82664,-1449.75596
0.83207,-1452.01681
0.83749,-1453.81515
0.84292,-1455.52108
0.84834,-1457.12713
0.85377,-1458.76661
0.8592,-1460.42873
0.86462,-1462.18262
0.87005,-1463.84641
0.87547,-1465.37357
0.8809,-1466.8359
0.88633,-1468.25916
0.89175,-1469.5505
0.89718,-1471.02636
0.9026,-1472.56709
0.90803,-1474.11341
0.91346,-1475.21555
0.91888,-1476.37168
0.92431,-1477.8119
0.92973,-1479.13058
0.93516,-1480.10139
0.94059,-1481.21571
0.94601,-1482.05938
0.95144,-1483.06689
0.95686,-1483.96593
0.96229,-1485.01914
0.96772,-1485.83189
0.97314,-1486.70214
0.97857,-1487.4103
0.98399,-1488.09248
0.98942,-1489.00805
0.99485,-1489.86878
1.00027,-1490.87965
1.0057,-1491.68938
1.01112,-1492.31423
1.01655,-1493.3038
1.02198,-1494.09876
1.0274,-1494.83939
