2theta (700C),intensity (700C)
0.2135,-1324.46697
0.21892,-1319.70416
0.22435,-1317.61006
0.22978,-1314.10869
0.2352,-1314.7705
0.24063,-1312.88435
0.24605,-1312.95012
0.25148,-1310.74214
0.25691,-1310.32106
0.26233,-1309.10619
0.26776,-1307.95145
0.27318,-1306.32828
0.27861,-1304.95316
0.28404,-1303.39331
0.28946,-1302.18417
0.29489,-1301.16858
0.30031,-1300.71764
0.30574,-1300.17617
0.31117,-1299.5474
0.31659,-1298.36949
0.32202,-1297.02853
0.32744,-1296.5361
0.33287,-1295.76422
0.3383,-1295.15713
0.34372,-1294.46899
0.34915,-1294.02606
0.35458,-1292.91684
0.36,-1292.18667
0.36543,-1291.31098
0.37085,-1290.51067
0.37628,-1289.40605
0.38171,-1288.30584
0.38713,-1286.43669
0.39256,-1283.7461
0.39798,-1278.74417
0.40341,-1270.19955
0.40884,-1260.2722
0.41426,-1245.24176
0.41969,-1228.72306
0.42511,-1208.86224
0.43054,-1190.67479
0.43597,-1168.80751
0.44139,-1150.35764
0.44682,-1128.64359
0.45224,-1118.22368
0.45767,-1105.21054
0.4631,-1096.95653
0.46852,-1081.35392
0.47395,-1075.40346
0.47937,-1069.32125
0.4848,-1067.7162
0.49023,-1064.82408
0.49565,-1065.49977
0.50108,-1067.36879
0.5065,-1070.00817
0.51193,-1073.01204
0.51736,-1077.38442
0.52278,-1083.89308
0.52821,-1088.01844
0.53363,-1093.41794
0.53906,-1095.45031
0.54449,-1100.97538
0.54991,-1102.96285
0.55534,-1108.37554
0.56076,-1109.96074
0.56619,-1115.01189
0.57162,-1116.4975
0.57704,-1120.67185
0.58247,-1122.45764
0.58789,-1125.36588
0.59332,-1126.59131
0.59875,-1129.55584
0.60417,-1131.33628
0.6096,-1133.6064
0.61502,-1134.57624
0.62045,-1137.23087
0.62588,-1140.23586
0.6313,-1143.16512
0.63673,-1145.44817
0.64215,-1148.12583
0.64758,-1150.83724
0.65301,-1153.78537
